"componentType","logicalName","displayName","sourcePath","parent","dependencies","rootComponent","dataType","requiredLevel","description","domain","targetSolution","disposition","rationale","licenceReview","maturityReview","sourceOnly"
"AppModule","cr7e8_AdvisorCockpit","cr7e8_AdvisorCockpit","AppModules/cr7e8_AdvisorCockpit/AppModule.xml","","","True","","","","Sales and opportunity management","crmshow_Sales","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"AppModule","cr7e8_BrokerManager","cr7e8_BrokerManager","AppModules/cr7e8_BrokerManager/AppModule.xml","","","True","","","","Party, household, and relationship","crmshow_Sales","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"AppModule","cr7e8_ClaimCockpit","cr7e8_ClaimCockpit","AppModules/cr7e8_ClaimCockpit/AppModule.xml","","","True","","","","Service and case management","crmshow_Service","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"AppModule","msdyn_CustomerServiceWorkspace","msdyn_CustomerServiceWorkspace","AppModules/msdyn_CustomerServiceWorkspace/AppModule.xml","","","True","","","","Service and case management","crmshow_Service","Refactor","Retain the service requirement but rebuild through native Customer Service configuration and governed extensions.","Investigate","Not required","True"
"AppModule","msdyncrm_MarketingSMBApp","msdyncrm_MarketingSMBApp","AppModules/msdyncrm_MarketingSMBApp/AppModule.xml","","","True","","","","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_account","","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_broker_name","Broker Name","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","nvarchar","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_brokerid","Broker","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","primarykey","systemrequired","Unique identifier for entity instances","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_conversion_rate","Conversion Rate","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","decimal","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_finma_number","FINMA Number","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","nvarchar","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_makler_betreuer","","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_mandate_count","Mandate Count","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","int","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_name","Broker Name","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","nvarchar","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_primary_contact","","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","createdby","Created By","Entities/cr7e8_broker/Entity.xml","cr7e8_broker","","False","lookup","none","Unique identifier of the user who created the record.","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
