"componentType","logicalName","parent","sourcePath","domain","targetSolution","disposition","rationale","licenceReview","maturityReview","sourceOnly"
"AppModule","cr7e8_AdvisorCockpit","","AppModules/cr7e8_AdvisorCockpit/AppModule.xml","Sales and opportunity management","crmshow_Sales","Redesign","Rebuild around native Lead and Opportunity; offer or quote data remains an externally referenced projection.","Investigate","Not required","True"
"AppModule","cr7e8_BrokerManager","","AppModules/cr7e8_BrokerManager/AppModule.xml","Party, household, and relationship","crmshow_Sales","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"AppModule","cr7e8_ClaimCockpit","","AppModules/cr7e8_ClaimCockpit/AppModule.xml","Service and case management","crmshow_Service","Redesign","Claim must become an Account-owned, externally referenced thin projection rather than a Contact-owned CRM record.","Investigate","Not required","True"
"AppModule","msdyn_CustomerServiceWorkspace","","AppModules/msdyn_CustomerServiceWorkspace/AppModule.xml","Service and case management","crmshow_Service","Refactor","Retain the service requirement but rebuild through native Customer Service configuration and governed extensions.","Investigate","Not required","True"
"AppModule","msdyncrm_MarketingSMBApp","","AppModules/msdyncrm_MarketingSMBApp/AppModule.xml","Marketing, consent, and journeys","crmshow_Marketing","Redesign","Validate against native Customer Insights - Journeys and consent-per-contact-per-channel before rebuilding custom campaign artefacts.","Required","Not required","True"
"Attribute","cr7e8_account","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_broker_name","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_brokerid","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_conversion_rate","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_finma_number","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
"Attribute","cr7e8_makler_betreuer","cr7e8_broker","Entities/cr7e8_broker/Entity.xml","Party, household, and relationship","crmshow_DataModel","Redesign","Broker is an Account type with dated relationship and ownership roles, not a parallel party table.","Investigate","Not required","True"
